data_instance,card,size_candi,time,obj_val,num_open,idx_rm_branch
IEEE300_P_0.95_1,45,1,0.416,51362.46244902929,0,
IEEE300_P_0.95_1,45,2,0.535,41645.67238676627,3,"[203, 211, 210]"
IEEE300_P_0.95_2,45,1,0.116,52606.95991694585,0,
IEEE300_P_0.95_2,45,2,0.497,42985.46821119022,3,"[203, 211, 210]"
IEEE300_P_0.95_3,45,1,0.116,50159.284362718674,0,
IEEE300_P_0.95_3,45,2,0.486,40396.63210620956,3,"[203, 211, 210]"
IEEE300_P_0.95_4,45,1,0.11,48876.86455898395,0,
IEEE300_P_0.95_4,45,2,0.505,39216.54910085512,3,"[203, 211, 210]"
IEEE300_P_0.95_5,45,1,0.103,48783.34333544412,0,
IEEE300_P_0.95_5,45,2,0.576,39062.12639181419,3,"[203, 211, 210]"
IEEE300_P_0.95_6,45,1,0.116,49852.69509723528,0,
IEEE300_P_0.95_6,45,2,0.5,40134.2977194984,3,"[203, 211, 210]"
IEEE300_P_0.95_7,45,1,0.116,51793.25506931981,0,
IEEE300_P_0.95_7,45,2,0.522,42166.19860821554,3,"[203, 211, 210]"
IEEE300_P_0.95_8,45,1,0.115,51143.13777571067,0,
IEEE300_P_0.95_8,45,2,0.495,41520.29610132533,3,"[203, 211, 210]"
IEEE300_P_0.95_9,45,1,0.118,50030.92568225284,0,
IEEE300_P_0.95_9,45,2,0.509,40363.26890980986,3,"[203, 211, 210]"
IEEE300_P_0.95_10,45,1,0.106,49493.1069542655,0,
IEEE300_P_0.95_10,45,2,0.509,39878.42943029301,3,"[203, 211, 210]"
IEEE300_P_0.95_11,45,1,0.114,50499.46239230101,0,
IEEE300_P_0.95_11,45,2,0.497,40925.89623168154,3,"[203, 211, 210]"
IEEE300_P_0.95_12,45,1,0.114,51488.32714314903,0,
IEEE300_P_0.95_12,45,2,0.387,41839.84966398035,2,"[203, 211]"
IEEE300_P_0.95_13,45,1,0.114,49901.59873669862,0,
IEEE300_P_0.95_13,45,2,0.504,40184.739043915695,3,"[203, 211, 210]"
IEEE300_P_0.95_14,45,1,0.104,49983.45434774756,0,
IEEE300_P_0.95_14,45,2,0.506,40286.95527120474,3,"[203, 211, 210]"
IEEE300_P_0.95_15,45,1,0.114,49280.99172625805,0,
IEEE300_P_0.95_15,45,2,0.496,39521.48114508914,3,"[203, 211, 210]"
IEEE300_P_0.95_16,45,1,0.114,49261.26077973061,0,
IEEE300_P_0.95_16,45,2,0.495,39581.82798640084,3,"[203, 211, 210]"
IEEE300_P_0.95_17,45,1,0.113,49651.82896864812,0,
IEEE300_P_0.95_17,45,2,0.499,39954.207313277155,3,"[203, 211, 210]"
IEEE300_P_0.95_18,45,1,0.116,50945.88139565409,0,
IEEE300_P_0.95_18,45,2,0.506,41304.389393527956,3,"[203, 211, 210]"
IEEE300_P_0.95_19,45,1,0.107,50135.43716728731,0,
IEEE300_P_0.95_19,45,2,0.506,40545.23083868984,3,"[203, 211, 210]"
IEEE300_P_0.95_20,45,1,0.114,50939.49282486801,0,
IEEE300_P_0.95_20,45,2,0.495,41372.333649052394,3,"[203, 211, 210]"
IEEE300_P_1.0_1,45,1,0.113,58598.34922967442,0,
IEEE300_P_1.0_1,45,2,0.381,49163.9196341819,2,"[203, 211]"
IEEE300_P_1.0_2,45,1,0.06,none,0,
IEEE300_P_1.0_2,45,2,0.052,none,0,
IEEE300_P_1.0_3,45,1,0.06,none,0,
IEEE300_P_1.0_3,45,2,0.053,none,0,
IEEE300_P_1.0_4,45,1,0.053,none,0,
IEEE300_P_1.0_4,45,2,0.06,none,0,
IEEE300_P_1.0_5,45,1,0.052,none,0,
IEEE300_P_1.0_5,45,2,0.051,none,0,
IEEE300_P_1.0_6,45,1,0.061,none,0,
IEEE300_P_1.0_6,45,2,0.051,none,0,
IEEE300_P_1.0_7,45,1,0.059,none,0,
IEEE300_P_1.0_7,45,2,0.052,none,0,
IEEE300_P_1.0_8,45,1,0.051,none,0,
IEEE300_P_1.0_8,45,2,0.061,none,0,
IEEE300_P_1.0_9,45,1,0.058,none,0,
IEEE300_P_1.0_9,45,2,0.052,none,0,
IEEE300_P_1.0_10,45,1,0.06,none,0,
IEEE300_P_1.0_10,45,2,0.05,none,0,
IEEE300_P_1.0_11,45,1,0.061,none,0,
IEEE300_P_1.0_11,45,2,0.051,none,0,
IEEE300_P_1.0_12,45,1,0.05,none,0,
IEEE300_P_1.0_12,45,2,0.06,none,0,
IEEE300_P_1.0_13,45,1,0.051,none,0,
IEEE300_P_1.0_13,45,2,0.062,none,0,
IEEE300_P_1.0_14,45,1,0.051,none,0,
IEEE300_P_1.0_14,45,2,0.05,none,0,
IEEE300_P_1.0_15,45,1,0.061,none,0,
IEEE300_P_1.0_15,45,2,0.051,none,0,
IEEE300_P_1.0_16,45,1,0.051,none,0,
IEEE300_P_1.0_16,45,2,0.06,none,0,
IEEE300_P_1.0_17,45,1,0.051,none,0,
IEEE300_P_1.0_17,45,2,0.06,none,0,
IEEE300_P_1.0_18,45,1,0.051,none,0,
IEEE300_P_1.0_18,45,2,0.05,none,0,
IEEE300_P_1.0_19,45,1,0.061,none,0,
IEEE300_P_1.0_19,45,2,0.051,none,0,
IEEE300_P_1.0_20,45,1,0.051,none,0,
IEEE300_P_1.0_20,45,2,0.061,none,0,
IEEE300_P_1.05_1,45,1,0.051,none,0,
IEEE300_P_1.05_1,45,2,0.06,none,0,
IEEE300_P_1.05_2,45,1,0.051,none,0,
IEEE300_P_1.05_2,45,2,0.051,none,0,
IEEE300_P_1.05_3,45,1,0.06,none,0,
IEEE300_P_1.05_3,45,2,0.052,none,0,
IEEE300_P_1.05_4,45,1,0.051,none,0,
IEEE300_P_1.05_4,45,2,0.06,none,0,
IEEE300_P_1.05_5,45,1,0.051,none,0,
IEEE300_P_1.05_5,45,2,0.059,none,0,
IEEE300_P_1.05_6,45,1,0.051,none,0,
IEEE300_P_1.05_6,45,2,0.051,none,0,
IEEE300_P_1.05_7,45,1,0.067,none,0,
IEEE300_P_1.05_7,45,2,0.05,none,0,
IEEE300_P_1.05_8,45,1,0.061,none,0,
IEEE300_P_1.05_8,45,2,0.051,none,0,
IEEE300_P_1.05_9,45,1,0.05,none,0,
IEEE300_P_1.05_9,45,2,0.061,none,0,
IEEE300_P_1.05_10,45,1,0.051,none,0,
IEEE300_P_1.05_10,45,2,0.051,none,0,
IEEE300_P_1.05_11,45,1,0.06,none,0,
IEEE300_P_1.05_11,45,2,0.051,none,0,
IEEE300_P_1.05_12,45,1,0.059,none,0,
IEEE300_P_1.05_12,45,2,0.052,none,0,
IEEE300_P_1.05_13,45,1,0.05,none,0,
IEEE300_P_1.05_13,45,2,0.061,none,0,
IEEE300_P_1.05_14,45,1,0.05,none,0,
IEEE300_P_1.05_14,45,2,0.081,none,0,
IEEE300_P_1.05_15,45,1,0.061,none,0,
IEEE300_P_1.05_15,45,2,0.051,none,0,
IEEE300_P_1.05_16,45,1,0.091,none,0,
IEEE300_P_1.05_16,45,2,0.051,none,0,
IEEE300_P_1.05_17,45,1,0.052,none,0,
IEEE300_P_1.05_17,45,2,0.06,none,0,
IEEE300_P_1.05_18,45,1,0.083,none,0,
IEEE300_P_1.05_18,45,2,0.051,none,0,
IEEE300_P_1.05_19,45,1,0.061,none,0,
IEEE300_P_1.05_19,45,2,0.051,none,0,
IEEE300_P_1.05_20,45,1,0.061,none,0,
IEEE300_P_1.05_20,45,2,0.05,none,0,
