load_factor,bigM,max_path,max_edge,conv_level,avg_rel_gap,avg_time,num_not_opt,not_opt_gap,,,,
0.95,ksp,15,5,0,-2.23E-05,9.326149654,0,NaN,,,,
0.95,ksp,15,5,1,2.05E-05,14.34199886,0,NaN,,,,
0.95,ksp,15,7,0,8.37E-05,14.81831474,0,NaN,,,,
0.95,ksp,15,7,1,-1.51E-05,10.44444685,0,NaN,,,,
0.95,ksp,15,9,0,4.58E-05,8.935360718,0,NaN,,,.,
0.95,ksp,15,9,1,-3.23E-05,12.61112032,0,NaN,,,1.34E-05,1.17E+01
0.95,ksp,20,5,0,3.50E-05,12.4450799,0,NaN,,,,
0.95,ksp,20,5,1,2.63E-06,10.14104691,0,NaN,,,,
0.95,ksp,20,7,0,-6.94E-06,9.717912102,0,NaN,,,,
0.95,ksp,20,7,1,1.83E-05,8.93754034,0,NaN,,,,
0.95,ksp,20,9,0,-2.33E-05,10.15781832,0,NaN,,,,
0.95,ksp,20,9,1,3.43E-05,9.17671032,0,NaN,,,1.00E-05,1.01E+01
0.95,ksp,25,5,0,4.53E-05,7.854806805,0,NaN,,,,
0.95,ksp,25,5,1,-1.26E-05,9.797138882,0,NaN,,,,
0.95,ksp,25,7,0,-3.41E-05,10.14355278,0,NaN,,,,
0.95,ksp,25,7,1,-2.57E-05,14.23214445,0,NaN,,,,
0.95,ksp,25,9,0,-5.15E-05,8.485793781,0,NaN,,,,
0.95,ksp,25,9,1,1.49E-06,13.64419756,0,NaN,,,-1.29E-05,1.07E+01
0.95,ksp,30,5,0,5.36E-05,10.75035439,0,NaN,,,,
0.95,ksp,30,5,1,-2.83E-05,11.50486212,0,NaN,,,,
0.95,ksp,30,7,0,1.72E-05,10.51137629,0,NaN,,,,
0.95,ksp,30,7,1,-4.56E-05,11.67284737,0,NaN,,,,
0.95,ksp,30,9,0,3.39E-05,12.32384443,0,NaN,,,,
0.95,ksp,30,9,1,1.26E-05,10.62487164,0,NaN,,,7.23E-06,1.12E+01
1,ksp,15,5,0,0.001577863,93.35385342,2,0.001870035,,,,
1,ksp,15,5,1,0.00125542,81.62408562,1,0.001147822,,,,
1,ksp,15,5,2,0.001248644,102.8306443,2,0.001739946,,,,
1,ksp,15,5,3,-1.99E-05,64.15297156,0,NaN,,,,
1,ksp,15,5,4,0.000101423,123.4069212,3,0.001722747,,,,
1,ksp,15,7,0,0.001559291,77.8934763,1,0.00139311,,,,
1,ksp,15,7,1,0.001327058,41.58172522,0,NaN,,,,
1,ksp,15,7,2,0.001282443,70.99306689,1,0.001373295,,,,
1,ksp,15,7,3,0.00012383,163.0393113,4,0.001701493,,,,
1,ksp,15,7,4,5.31E-05,69.67564774,1,0.002651701,,,,
1,ksp,15,9,0,0.001585517,101.1690417,2,0.00198288,,,,
1,ksp,15,9,1,0.001263161,46.31453791,0,NaN,,,,
1,ksp,15,9,2,0.001323653,72.43857775,1,0.001373295,,,,
1,ksp,15,9,3,9.52E-05,142.7155207,3,0.001555638,,,,
1,ksp,15,9,4,8.34E-05,98.31133842,2,0.001538286,,,0.00085734,89.96671467
1,ksp,20,5,0,0.001594339,98.59300528,2,0.001913086,,,,
1,ksp,20,5,1,0.001311546,106.1744647,2,0.001859177,,,,
1,ksp,20,5,2,0.001230337,135.4784791,3,0.002161598,,,,
1,ksp,20,5,3,0.000102697,155.9990836,3,0.001882684,,,,
1,ksp,20,5,4,5.81E-05,85.35987558,1,0.001375152,,,,
1,ksp,20,7,0,0.001607646,98.15174961,2,0.002310088,,,,
1,ksp,20,7,1,0.001328885,60.84280167,0,NaN,,,,
1,ksp,20,7,2,0.001315754,70.03640185,0,NaN,,,,
1,ksp,20,7,3,1.93E-05,100.729416,2,0.00115796,,,,
1,ksp,20,7,4,3.70E-05,161.1878915,4,0.001592355,,,,
1,ksp,20,9,0,0.001592797,92.40850267,2,0.002054271,,,,
1,ksp,20,9,1,0.001339319,74.75069666,1,0.001820252,,,,
1,ksp,20,9,2,0.001301649,51.42843809,0,NaN,,,,
1,ksp,20,9,3,1.60E-05,71.76145649,1,0.001110488,,,,
1,ksp,20,9,4,-7.95E-05,145.6515662,3,0.001231081,,,0.000851725,100.5702553
1,ksp,25,5,0,0.001544938,100.6753304,2,0.001245011,,,,
1,ksp,25,5,1,0.001317125,66.17073278,1,0.001802465,,,,
1,ksp,25,5,2,0.001275191,78.45842113,1,0.001118412,,,,
1,ksp,25,5,3,7.73E-05,87.86875324,1,0.001389421,,,,
1,ksp,25,5,4,1.27E-06,97.45360222,1,0.001378259,,,,
1,ksp,25,7,0,0.001633336,85.80041161,2,0.002263025,,,,
1,ksp,25,7,1,0.001267344,49.74030666,0,NaN,,,,
1,ksp,25,7,2,0.001332558,99.4679821,2,0.001243878,,,,
1,ksp,25,7,3,0.000124491,103.9368836,2,0.001592291,,,,
1,ksp,25,7,4,8.88E-05,88.59715796,1,0.001380108,,,,
1,ksp,25,9,0,0.001589491,60.77056065,1,0.001807629,,,,
1,ksp,25,9,1,0.00128573,39.19012661,0,NaN,,,,
1,ksp,25,9,2,0.001186126,134.1358599,3,0.001431271,,,,
1,ksp,25,9,3,2.02E-05,106.6501744,2,0.001610484,,,,
1,ksp,25,9,4,-2.48E-06,142.0490107,3,0.001956651,,,0.000849428,89.3976876
1,ksp,30,5,0,0.001573068,119.9278701,2,0.002191211,,,,
1,ksp,30,5,1,0.00123342,125.7265825,3,0.001925273,,,,
1,ksp,30,5,2,0.001279876,59.64013701,0,NaN,,,,
1,ksp,30,5,3,7.48E-05,100.5417154,2,0.001891372,,,,
1,ksp,30,5,4,0.000117645,142.3339395,3,0.001756206,,,,
1,ksp,30,7,0,0.001573288,61.91392517,0,NaN,,,,
1,ksp,30,7,1,0.001337566,101.6630667,2,0.002342867,,,,
1,ksp,30,7,2,0.001257683,72.58755388,1,0.001112683,,,,
1,ksp,30,7,3,-1.30E-05,132.3396219,2,0.001273332,,,,
1,ksp,30,7,4,5.98E-05,65.33750467,0,NaN,,,,
1,ksp,30,9,0,0.001593559,92.39598999,1,0.001803349,,,,
1,ksp,30,9,1,0.001320532,55.37987232,0,NaN,,,,
1,ksp,30,9,2,0.001277101,86.35499506,1,0.001112683,,,,
1,ksp,30,9,3,0.000157388,107.7944493,2,0.001273332,,,,
1,ksp,30,9,4,1.66E-05,115.477987,2,0.001513099,,,0.000857288,95.96101403
1.05,ksp,15,5,0,0.027626522,40.63461838,0,NaN,,,,
1.05,ksp,15,5,1,0.027589456,52.29793921,0,NaN,,,,
1.05,ksp,15,5,2,0.027609114,57.20419473,0,NaN,,,,
1.05,ksp,15,5,3,0.001727951,68.45389719,0,NaN,,,,
1.05,ksp,15,5,4,-0.000158693,46.35175533,0,NaN,,,,
1.05,ksp,15,5,5,-7.34E-05,70.05343685,0,NaN,,,,
1.05,ksp,15,7,0,0.027569923,55.83329077,0,NaN,,,,
1.05,ksp,15,7,1,0.027585586,39.66414776,0,NaN,,,,
1.05,ksp,15,7,2,0.027562734,76.9741951,0,NaN,,,,
1.05,ksp,15,7,3,0.001617345,49.44359903,0,NaN,,,,
1.05,ksp,15,7,4,-8.26E-05,76.01786623,0,NaN,,,,
1.05,ksp,15,7,5,-0.000124173,50.41882983,0,NaN,,,,
1.05,ksp,15,9,0,0.027571706,56.656462,0,NaN,,,,
1.05,ksp,15,9,1,0.027591641,43.29313822,0,NaN,,,,
1.05,ksp,15,9,2,0.027565081,78.9062521,0,NaN,,,,
1.05,ksp,15,9,3,0.001638615,46.36525221,0,NaN,,,,
1.05,ksp,15,9,4,-7.35E-05,75.60836019,0,NaN,,,,
1.05,ksp,15,9,5,-8.52E-05,54.74967699,0,NaN,,,,
1.05,ksp,20,5,0,0.027612466,41.84747372,0,NaN,,,,
1.05,ksp,20,5,1,0.027528507,55.01198387,0,NaN,,,,
1.05,ksp,20,5,2,0.027532934,54.14493561,0,NaN,,,,
1.05,ksp,20,5,3,0.001727021,41.37182884,0,NaN,,,,
1.05,ksp,20,5,4,-7.83E-05,61.1661686,0,NaN,,,,
1.05,ksp,20,5,5,-0.000114036,56.09159841,0,NaN,,,,
1.05,ksp,20,7,0,0.027658562,39.49166918,0,NaN,,,,
1.05,ksp,20,7,1,0.027576752,60.17747564,0,NaN,,,,
1.05,ksp,20,7,2,0.027626162,73.52186156,0,NaN,,,,
1.05,ksp,20,7,3,0.001660027,43.58383255,0,NaN,,,,
1.05,ksp,20,7,4,-0.00011472,73.04707718,0,NaN,,,,
1.05,ksp,20,7,5,-3.79E-05,46.53765163,0,NaN,,,,
1.05,ksp,20,9,0,0.027681796,40.05811453,0,NaN,,,,
1.05,ksp,20,9,1,0.027558551,59.85874681,0,NaN,,,,
1.05,ksp,20,9,2,0.027624468,73.82430439,0,NaN,,,,
1.05,ksp,20,9,3,0.00165556,47.14989634,0,NaN,,,,
1.05,ksp,20,9,4,-0.000106163,82.70619288,0,NaN,,,,
1.05,ksp,20,9,5,-4.79E-05,46.75939331,0,NaN,,,,
1.05,ksp,25,5,0,0.027550017,49.47942123,0,NaN,,,,
1.05,ksp,25,5,1,0.027532448,51.13487568,0,NaN,,,,
1.05,ksp,25,5,2,0.027607738,72.86228647,0,NaN,,,,
1.05,ksp,25,5,3,0.001627833,38.13262701,0,NaN,,,,
1.05,ksp,25,5,4,-0.000107612,66.84223461,0,NaN,,,,
1.05,ksp,25,5,5,1.09E-05,62.55807314,0,NaN,,,,
1.05,ksp,25,7,0,0.02759808,45.3125555,0,NaN,,,,
1.05,ksp,25,7,1,0.027568128,65.25755634,0,NaN,,,,
1.05,ksp,25,7,2,0.027548127,57.96869783,0,NaN,,,,
1.05,ksp,25,7,3,0.001619829,52.02964277,0,NaN,,,,
1.05,ksp,25,7,4,-0.000118071,78.73275052,0,NaN,,,,
1.05,ksp,25,7,5,-0.000112375,78.70254698,0,NaN,,,,
1.05,ksp,25,9,0,0.02759687,43.98133726,0,NaN,,,,
1.05,ksp,25,9,1,0.027589332,64.37304049,0,NaN,,,,
1.05,ksp,25,9,2,0.027536095,58.5734436,0,NaN,,,,
1.05,ksp,25,9,3,0.001610384,51.56714144,0,NaN,,,,
1.05,ksp,25,9,4,-0.000146071,78.77423296,0,NaN,,,,
1.05,ksp,25,9,5,-9.68E-05,81.66176024,0,NaN,,,,
1.05,ksp,30,5,0,0.027584118,42.9236104,0,NaN,,,,
1.05,ksp,30,5,1,0.027511856,50.7900794,0,NaN,,,,
1.05,ksp,30,5,2,0.027643709,46.73899355,0,NaN,,,,
1.05,ksp,30,5,3,0.001700708,47.30503816,0,NaN,,,,
1.05,ksp,30,5,4,-3.67E-05,68.54795341,0,NaN,,,,
1.05,ksp,30,5,5,-5.08E-05,62.21416368,0,NaN,,,,
1.05,ksp,30,7,0,0.027537744,62.05974646,0,NaN,,,,
1.05,ksp,30,7,1,0.02758253,54.82184362,0,NaN,,,,
1.05,ksp,30,7,2,0.027611482,64.5326807,0,NaN,,,,
1.05,ksp,30,7,3,0.001570191,49.55316763,0,NaN,,,,
1.05,ksp,30,7,4,-0.000100433,55.62757416,0,NaN,,,,
1.05,ksp,30,7,5,-0.000182676,71.17732058,0,NaN,,,,
1.05,ksp,30,9,0,0.027593643,56.77307386,0,NaN,,,,
1.05,ksp,30,9,1,0.027597215,57.66081781,0,NaN,,,,
1.05,ksp,30,9,2,0.027610169,64.66555624,0,NaN,,,,
1.05,ksp,30,9,3,0.00158187,52.01655254,0,NaN,,,,
1.05,ksp,30,9,4,-0.000100177,48.48384972,0,NaN,,,,
1.05,ksp,30,9,5,-0.000180188,81.31270981,0,NaN,,,,
,,,,,,,,,,,,
1,ksp,15,5,5,-2.33E-05,114.2137094,2,0.001299611,,,,
1,ksp,15,7,5,9.82E-05,46.28722696,0,NaN,,,,
1,ksp,15,9,5,-3.31E-06,88.12517986,1,0.001173577,,,,
1,ksp,20,5,5,2.67E-05,129.6532535,2,0.001147367,,,,
1,ksp,20,7,5,-1.63E-05,98.62521887,1,0.001383661,,,,
1,ksp,20,9,5,5.21E-05,99.31728859,2,0.001302096,,,,
1,ksp,25,5,5,3.68E-05,133.9175159,3,0.001961837,,,,
1,ksp,25,7,5,4.84E-05,81.47557669,1,0.002653412,,,,
1,ksp,25,9,5,-1.55E-05,80.80090733,1,0.001840468,,,,
1,ksp,30,5,5,-3.67E-05,134.0288963,3,0.001761463,,,,
1,ksp,30,7,5,7.73E-05,103.6001898,1,0.001383489,,,,
1,ksp,30,9,5,1.19E-05,184.1613482,4,0.008269612,,,,
